"Site","Pollinator","filn","Species","Family","Overview","Date","Group","Stems","Av_filling_rate","nPoll","nRais","nGarb","mH","P_ADOX.Viburnum","P_APIA.Apiaceae","P_ASTE.Arnica.montana","P_ASTE.Cirsium.group","P_ASTE.Crepis.group","P_ASTE.Matricaria.group","P_ASTE.Senecio.group","P_BORA.Echium.vulgare","P_BRAS.Brassicaceae","P_CAPR.Lonicera.periclymenum.group","P_CAPR.Succisa.pratensis","P_CARY.Caryophyllaceae","P_ERIC.Ericaceae","P_FABA.Astragalus.group","P_FABA.Lathyrus.group","P_FABA.Trifolium.pratense.group","P_FABA.Trifolium.repens.group","P_FABA.Vicia.group","P_GERA.Geranium.group","P_LAMI.Prunella.group","P_MALV.Tilia","P_ONAG.Epilobium.group","P_OROB.Rhinanthus","P_PLAN.Digitalis","P_PLAN.Veronica","P_POAC.Poaceae","P_POLY.Rumex","P_RANU.Ranunculus.group","P_ROSA.Filipendula","P_ROSA.Geum","P_ROSA.Potentilla.group","P_ROSA.Rosa","P_ROSA.Sorbus.group","P_ROSA.Spiraea","P_RUBI.Galium","P_Not.Arnica","Nr_Arnica","Nr_Not.Arnica","Association"
1,1,"S01_P01 1018598","Empis tessellata","Empididae","Fly","28/05/2024","flower",150,0.5713053049,1097,13,5985,0.034350246,1.36001976775676e-10,0.000915913312712073,0.946844452293217,1.18001715143601e-06,0.0247015350344404,2.44003546568125e-06,0.0125265450721301,1.62002354688673e-08,0.000753417950857588,6.24009069911926e-09,4.43006439056063e-07,4.59006671617907e-08,0.00168696051980921,4.79006962320213e-07,9.24013430446506e-09,1.45002107591714e-06,9.58013924640425e-08,0.000110781610200069,2.11003066909321e-06,8.79012776366319e-09,2.71003939016237e-07,0.000639471294653879,3.90005668694954e-09,1.09001584327564e-09,9.1901335777093e-07,0.00144609201880867,0.00102428888794065,0.000118903728254275,0.000512676451703009,5.94008633858468e-08,0.000908995212158145,2.16003139584898e-06,0.000206873006879295,2.74003982621583e-08,0.00759136733979551,0.053155547706783,1039,58,"Arnica"
1,2,"S01_P02 1018599","Helophilus pendulus","Syrphidae","Fly","28/05/2024","flower",150,0.5713053049,307,5,399,0.126938716,1.31115768102504e-05,1.12098977309011e-07,0.599691357900554,3.03267768969915e-06,0.218655975351308,1.42125489088211e-05,0.0177682554045509,9.39829818688944e-13,0.00245058273146386,1.66146698511571e-05,0.00032259483371846,0.00127349242464922,0.00947921863525066,2.61230652479036e-08,1.01089256323305e-08,0.00736148379039413,0.000240769586468963,1.9917586146869e-06,9.25817446525318e-05,9.49838655948677e-06,0.000210191587756752,1.70150233415464e-07,0.000434172350606239,7.85693724889053e-13,0.0144725254539915,0.00411404047431053,0.00104428404609897,0.089028638452722,0.00363188675876485,0.00628330681868252,8.62761771788999e-07,0.00385891621344366,0.0101234264357524,1.07094558679145e-10,0.00940265603463233,0.400308642099446,184,123,"Arnica"
1,6,"S01_P06 1018603","Eristalis sp","Syrphidae","Fly","28/05/2024","flower",150,0.5713053049,817,9,1108,0.017680401,0.00301552555302791,0.00897986058047583,0.877261360628812,0.000515360607221059,0.0747481790716683,0.00202251138301392,0.000555885654969494,1.20000141389567e-08,5.10000600905658e-08,1.20000141389567e-09,0.000760589896161242,1.42000167310987e-07,0.00548250245973111,0.000918946082743627,1.04000122537624e-08,0.00119607440926869,7.27000856585124e-05,0.00210056747498312,5.08000598549165e-08,2.03000239184017e-07,0.000833199981713712,0.00121065642644988,1.72000202658379e-06,0.0013312055684863,5.77000679848166e-05,0.00509459100267638,0.00258203504226988,0.00980485955252674,2.12000249788234e-08,8.43000993261705e-05,0.00122473844304195,4.83000569093006e-06,0.000139496164360658,1.5500018262819e-10,1.12000131963595e-07,0.122738639371188,717,100,"Arnica"
1,7,"S01_P07 1018604","Eristalis sp","Syrphidae","Fly","28/05/2024","flower",150,0.5713053049,2319,151,2879,0.077839017,7.90370573719422e-08,0.227619006612236,0.425664386312347,2.59121491890292e-05,0.298234281341071,0.000976509847113911,0.0366989476951864,1.76082558195719e-10,0.00171891693263753,1.1605441335627e-07,0.000294697171929392,0.000296493013929172,3.66171683520644e-07,0.000398864011669289,3.10145415003824e-07,3.16148229487769e-06,2.49116801083717e-05,0.000230763195799055,5.54259870684253e-06,3.54166054552754e-08,1.46068485775995e-06,0.000398564871414172,0.000594925937405738,0.000343426018971896,0.000311538067964099,0.000903367553565203,0.00145532034254946,0.00104677879346297,0.00255057786578477,5.43254710797021e-07,3.67172152601301e-08,1.39065202211392e-07,0.000193146558835414,5.58261747006883e-06,1.29060511404817e-06,0.574335613687652,987,1332,"Arnica"
1,8,"S01_P08 1018609","Dasytes niger","Melyridae","Beetle","28/05/2024","flower",150,0.5713053049,702,153,800,0.036744639,5.2929633888442e-07,0.620930567062748,0.314137071379071,7.06730907033175e-06,0.0167432100363719,0.000217544805102246,0.00673963153098924,8.34042715817875e-08,0.0145560312547479,2.80687452438708e-08,6.00470657181379e-05,1.50368278092165e-05,1.273118087847e-05,0.000677766969307062,1.07262705039078e-08,7.67880673457322e-05,0.00145983238366441,0.000134795136757753,3.29807756615482e-06,4.58122020587462e-07,0.000512438049999914,6.91694079223959e-07,0.00138532490186974,0.00345203563627264,0.000190706072373169,0.00409055949236321,0.000492120288264101,0.00548115630606286,0.00377157424194961,0.00121297478643088,1.35331450282948e-07,2.71665355753178e-06,0.00143748966245029,7.51841390460825e-07,0.0021967963366908,0.685862928620928,221,482,"Arnica"
1,9,"S01_P09 1018613","Apis mellifera","Apidae","Bee","28/05/2024","area",150,0.5713053049,2022,0,992,0.004186186,2.54016734902076e-14,0.00393814644942257,0.684332751594879,1.31008630992803e-08,0.308441604472386,4.81031690897239e-05,0.0013964890022325,3.23021280997522e-14,3.35022071622817e-12,8.69057254448442e-14,8.08053235436526e-11,9.47062393512859e-10,3.20021083341199e-11,1.24008169794714e-07,6.61043550276663e-12,1.21007972138391e-12,1.24008169794714e-12,1.54010146357952e-05,2.84018711465314e-12,1.50009882816187e-12,1.99013111202808e-14,4.47029450792237e-11,4.04026617718263e-12,5.39035512252831e-14,6.28041376057102e-12,0.000827788535619824,0.000148538785898703,9.39061866429329e-10,4.28028198968853e-06,2.1701429714075e-12,0.000494666589179345,6.52042957307692e-10,7.44049018768287e-11,1.47009685159863e-15,0.000352090196089643,0.315667248405121,1384,638,"Area"
1,10,"S01_P10 1018607","Apis mellifera","Apidae","Bee","28/05/2024","area",150,0.5713053049,5875,9,773,0.002612523,1.7500025591817e-06,0.00102195049448753,0.000849168241812942,9.50001389270067e-10,0.988113716005053,5.60000818938144e-05,0.00214011112967156,1.21000176949135e-12,6.26000915455854e-11,2.74000400694735e-12,2.69000393382787e-08,1.99000291015519e-07,0.000169262247526979,1.37000200347367e-05,1.99000291015519e-06,1.42000207659315e-08,6.8000099442489e-10,1.67000244219054e-08,2.78000406544293e-12,3.12000456265538e-11,6.98001020747902e-09,1.60000233982327e-12,1.95000285165961e-08,1.83000267617287e-15,3.03000443104032e-11,0.00610015492078973,0.000609406891188962,0.000724883060059857,1.47000214971263e-05,1.06000155013292e-05,1.35000197422588e-07,2.6300038460845e-07,9.57001399506793e-09,1.63000238369496e-13,0.000171914251405236,0.999150831758187,5,5870,"Area"
1,11,"S01_P11 1018618","Stenurella melanura","Cerambycidae","Beetle","28/05/2024","flower",150,0.5713053049,300,2,1310,0.022682039,1.08999940166025e-10,0.00670548731911761,0.823360885027692,5.67999688204608e-08,0.110920212111919,0.00101831144101234,0.00858174928917015,5.07999721140741e-14,8.65999524621814e-11,8.92999509800554e-07,0.00315118627020088,2.38999868804404e-08,0.000180498900917682,1.33999926442636e-08,3.03999833123593e-08,0.000424195767143736,5.0099972498329e-09,3.04999832574657e-08,4.77999737608807e-08,1.01999944008574e-06,1.2799992973625e-06,0.000418817770095911,0.00523771212483204,6.31999653072733e-11,2.92999839161884e-07,0.0133059726958746,6.97999616842986e-06,0.00341558812506123,1.98999890761826e-09,9.97999452162322e-06,3.44999810617235e-08,7.369995954345e-06,0.0065918013815239,3.76999793051298e-10,0.0166595208549917,0.176639114972308,247,53,"Arnica"
1,12,"S01_P12 1018615","Andrena sp","Andrenidae","Bee","28/05/2024","area",150,0.5713053049,3089,13,1033,0.007980116,1.83014715324535e-08,9.86079285846949e-10,0.000659262008056675,4.29034496580468e-08,0.987433017693953,0.000281866663529663,0.0016577782939024,2.19017610142477e-14,1.90015278205802e-07,1.1500924733509e-08,0.000182189648984957,2.92023480189969e-08,0.000765042513353433,4.50036185224267e-10,1.08008684453824e-11,1.90015278205802e-05,3.05024525540892e-08,3.70029752295508e-05,2.35018896728228e-07,2.53020344137199e-08,2.97023882248016e-08,1.60012865857517e-06,3.38027179124005e-07,4.6303723057519e-13,1.30010453509233e-07,0.00753395076839623,0.00044202254088604,3.42027500770443e-05,0.000323061975844681,0.000459852974544626,8.21066017931385e-05,5.74046156263843e-05,2.8902323895514e-05,8.74070279746687e-12,6.52052428369382e-07,0.999340737991943,2,3087,"Area"
1,13,"S01_P13 1018617","Coenonympha pamphilus","Nymphalidae","Butterfly","28/05/2024","area",150,0.5713053049,35,2,4087,0.030947974,1.8601393171952e-06,0.000286061424887373,2.36017676805412e-08,2.99022395613636e-10,0.893553244660316,1.98014830540134e-07,5.52041345748252e-05,2.81021047382715e-08,1.32009887026756e-07,1.28009587419884e-10,3.44025766190939e-09,8.65064789985938e-08,4.6003445479021e-09,1.15008613697552e-06,5.87043967308376e-08,6.56049135526908e-06,3.85028837161371e-08,0.0284247529033633,2.38017826608848e-07,8.06060370784585e-07,3.45025841092657e-10,1.3000973722332e-10,1.27009512518167e-07,0.0196676700319388,0.000123054216281873,0.0285612971299945,7.35055052762618e-07,0.000169574700485082,1.08008089385527e-05,1.19008913304424e-09,0.0270342077569439,2.31017302296823e-07,1.51011310159395e-06,7.36055127664335e-09,0.00210033130664038,0.999999976398233,0,35,"Area"
